Expenses_Date,Expenses_Amount,Expenses_Description,Expenses_Category,Day_Type
01/12/2025,132.00,Transpo + Move It,Transportation,Regular
02/12/2025,79.00,Move It,Transportation,School
02/12/2025,530.00,Meralco Load,Power Bill,School
02/12/2025,200.00,Water Bill,Water Bill,School
02/12/2025,784.00,Grocery,Grocery,School
02/12/2025,150.00,Food,Week 1 (1-6),School
03/12/2025,50.00,Train,Transportation,School
03/12/2025,270.00,Food,Week 1 (1-6),School
04/12/2025,35.00,Water,Week 1 (1-6),Regular
04/12/2025,200.00,Laundry,Laundry,Regular
04/12/2025,150.00,Food,Week 1 (1-6),Regular
05/12/2025,165.00,Paskulayan Merch,School,School
05/12/2025,464.00,Food,Week 1 (1-6),School
06/12/2025,280.00,LRT + Move It,Transportation,School
06/12/2025,320.00,Food,Week 1 (1-6),School
08/12/2025,60.00,Transpo,Transportation,Regular
09/12/2025,285.00,Food,Week 2 (7-13),School
09/12/2025,500.00,Derma Consultation,Personal,School
10/12/2025,169.00,Loklok Subscription,Personal,School
10/12/2025,337.00,Food,Week 2 (7-13),School
11/12/2025,95.00,Monster,Week 2 (7-13),Regular
11/12/2025,150.00,Food,Week 2 (7-13),Regular
11/12/2025,400.00,Laundry,Laundry,Regular
12/12/2025,65.00,Transpo,Transportation,School
12/12/2025,47.00,Gatorade,Week 2 (7-13),School
12/12/2025,334.00,Food,Week 2 (7-13),School
13/12/2025,110.00,Food,Week 2 (7-13),School
15/12/2025,60.00,Transpo,Transportation,Regular
16/12/2025,288.00,Exchange Gift,Personal,School
16/12/2025,340.00,Food,Week 3 (14-20),School
16/12/2025,40.00,Transpo,Transportation,School
17/12/2025,360.00,Food,Week 3 (14-20),School
16/12/2025,400.00,Wifi,Internet Bill,School
18/12/2025,290.00,Kenny Rogers,Week 3 (14-20),Regular
18/12/2025,20.00,Transpo,Transportation,Regular
18/12/2025,"2,450.00",Gym Membership,Gym,Regular
18/12/2025,200.00,Move It,Transportation,Regular
19/12/2025,191.00,Move It,Transportation,School
20/12/2025,517.00,InDrive,Transportation,School
21/12/2025,50.00,Transpo,Transportation,Weekend
21/12/2025,120.00,Food,Week 4 (21-27),Weekend
22/12/2025,"1,927.00",Chili's,Birthday,Regular
22/12/2025,273.00,InDrive,Transportation,Regular
22/12/2025,529.00,GLoan,Loan,Regular
23/12/2025,25.00,Water,Week 4 (21-31),Regular
23/12/2025,213.00,Move It,Transportation,Regular
23/12/2025,"8,000.00",Loan,Loan,Regular
23/12/2025,"6,000.00",To Mommy,Loan,Regular
23/12/2025,830.00,Jollibee,Week 4 (21-31),Regular
24/12/2025,203.00,Food,Week 4 (21-31),Regular
24/12/2025,200.00,Pamasko,Personal,Regular
24/12/2025,269.00,Food,Week 4 (21-31),Regular
24/12/2025,50.00,Transpo,Transportation,Regular
25/12/2025,300.00,Move It,Transportation,Regular
26/12/2025,558.00,Food,Week 4 (21-31),Holiday
26/12/2025,110.00,Transpo,Transportation,Regular
26/12/2025,434.00,Cetaphil + Bactidol,Personal,Regular
27/12/2025,215.00,Move It,Transportation,Weekend
28/12/2025,174.00,McDo,Week 4 (21-31),Weekend
28/12/2025,25.00,Transpo,Transportation,Weekend
28/12/2025,149.00,Dunkin,Week 4 (21-31),Weekend
28/12/2025,263.00,Chooks,Personal,Weekend
28/12/2025,50.00,ODL,Personal,Weekend
28/12/2025,335.00,Cinema,Personal,Weekend
29/12/2025,50.00,Transpo,Transportation,Regular
29/12/2025,225.00,Food,Week 4 (21-31),Regular
29/12/2025,"1,582.00",Uniqlo,Personal,Regular
30/12/2025,300.00,Move It,Transportation,Regular
30/12/2025,37.00,Bandaid,Personal,Regular
31/12/2025,47.00,Cream,Week 4 (21-31),Holiday
31/12/2025,69.00,Move It,Transportation,Holiday
31/12/2025,100.00,Food,Week 4 (21-31),Holiday
31/12/2025,257.00,LazPay Later,Loan,Holiday
31/12/2025,"1,973.00",Excess,Excess,Holiday
01/01/2026,70.00,UV,Transportation,Holiday
01/01/2026,204.00,McDo,Week 1 (1-10),Holiday
01/01/2026,60.00,Tricycle,Transportation,Holiday
03/01/2026,"6,500.00",Jan Rent,Jan Rent,Weekend
03/01/2026,150.00,Move It,Transportation,Weekend
03/01/2026,96.00,Yogurt,Week 1 (1-10),Weekend
