Income_Date,Income_Amount,Income_Description,Income_Category
01/12/2025,9.00,Last Month Excess,Last Month Excess
01/12/2025,"3,100.00",Allowance,School Allowance
02/12/2025,700.00,Water + Power Bill,Utility Allowance
02/12/2025,500.00,Derma Consultation,Others
08/12/2025,"3,100.00",Allowance,School Allowance
15/12/2025,"3,100.00",Allowance,School Allowance
15/12/2025,400.00,Wifi,Utility Allowance
19/12/2025,300.00,Birthday Money,Others
20/12/2025,"1,000.00",Loan,Others
21/12/2025,"1,500.00",Bday Money,Others
23/12/2025,"21,000.00",Scholarship Allowance ,Scholarship Allowance
24/12/2025,500.00,Pamasko,Others
26/12/2025,500.00,Pamasko,Others
27/12/2025,150.00,Transpo,Others
30/12/2025,100.00,Transpo,Transpo Allowance
31/12/2025,500.00,Pamasko,Others
01/01/2026,"1,973.00",Last Month Excess,Last Month Excess
01/01/2026,"6,500.00",Jan Rent,Rent Allowance
05/01/2026,"3,000.00",Allowance,School Allowance
05/01/2026,100.00,Transpo,Transpo Allowance
06/01/2026,150.00,Allowance,Others
06/01/2026,200.00,Water Bill Payment,Utility Allowance
05/01/2026,745.00,Loan,Others
10/01/2026,200.00,Transpo,Transpo Allowance
12/01/2026,"3,000.00",Allowance,School Allowance
12/01/2026,200.00,Transpo,Transpo Allowance
13/01/2826,500.00,Blessing ni Sir Ponio,Others
15/01/2026,900.00,Wifi + Meralco,Utility Allowance
18/01/2026,"3,000.00",Allowance,School Allowance
19/01/2026,250.00,Transpo,Transpo Allowance
21/01/2026,"3,000.00",Loan,Others
24/01/2023,"2,450.00",Loan,Others
25/01/2026,200.00,Transpo,Transpo Allowance
