Income_Date,Income_Amount,Income_Description,Income_Category
01/09/2024,"2,000.00",Allowance,School Allowance
01/09/2024,"1,500.00",Allowance,Food Allowance
01/09/2024,500.00,Chair,Other
03/09/2024,"2,000.00",Allowance,Scholarship Allowance
07/09/2024,"5,000.00",For Keeps,Scholarship Allowance
08/09/2024,200.00,Transpo,Transpo Allowance
10/09/2024,500.00,Meralco Load,Utility Allowance
10/09/2024,200.00,For contest,School Allowance
10/09/2024,"1,000.00",Allowance,Scholarship Allowance
13/09/2024,"1,500.00",Allowance ,Scholarship Allowance
14/09/2024,"1,000.00",Allowance,Other
17/09/2024,500.00,Allowance,Scholarship Allowance
18/09/2024,"1,000.00",Allowance ,Scholarship Allowance
19/09/2024,"1,500.00",Allowance,Scholarship Allowance
22/09/2024,"1,000.00",Grocery,Food Allowance
22/09/2024,150.00,Transpo,Transpo Allowance
22/09/2024,"1,000.00",Allowance,Scholarship Allowance
26/09/2024,"1,500.00",Allowance,Scholarship Allowance
27/09/2024,300.00,Transpo + Laundry,Other
28/09/2024,"1,500.00",Allowance,Other
01/10/2024,80.00,Sept,Last Month Excess
01/10/2024,"1,000.00",Allowance,Scholarship Allowance
01/10/2024,"9,000.00",Tuition Paymeny,Scholarship Allowance
02/10/2024,412.00,Water Bill Payment,Utility Allowance
02/10/2024,500.00,Allowance,Scholarship Allowance
01/10/2024,"6,500.00",Rent Allowance ,Rent Allowance
03/10/2024,500.00,Allowance,Scholarship Allowance
04/10/2024,"1,000.00",Allowance,Scholarship Allowance
05/10/2024,"1,500.00",Allowance ,Others
06/10/2024,70.00,Pamasahe ,Transpo Allowance
07/10/2024,"1,000.00",Allowance,Scholarship Allowance
08/10/2024,500.00,Allowance,Scholarship Allowance
09/10/2024,"1,000.00",Allowance,Scholarship Allowance
10/10/2024,"2,000.00",Allowance,Scholarship Allowance
13/10/2024,"1,200.00",Allowance,Others
16/10/2024,"1,600.00",Allowance,School Allowance
17/10/2024,500.00,Allowance ,Scholarship Allowance
19/10/2024,500.00,Allowance,Scholarship Allowance
20/10/2024,"1,000.00",Grocery ,Others
23/10/2024,"1,000.00",Allowance,Scholarship Allowance
20/10/2024,500.00,Electric ,Utility Allowance
27/10/2024,"1,500.00",Allowamce,School Allowance
27/10/2024,200.00,Transpo,Others
29/10/2024,500.00,Allowance,Others
01/11/2024,120.00,Oct,Last Month Excess
01/11/2024,"1,000.00",Monthly Allowance,Others
01/11/2024,450.00,Water,Utility Allowance
01/11/2024,"6,500.00",Rent,Rent Allowance
03/11/2024,"1,700.00",Allowance,School Allowance
08/11/2024,400.00,Internet Payment,Utility Allowance
09/11/2024,500.00,Tuition Payment,Others
09/11/2024,500.00,Allowance,Others
09/11/2024,100.00,Merienda Money,Others
10/11/2024,600.00,Merienda Money,Others
12/11/2024,"1,500.00",Allowance,School Allowance
17/11/2024,"2,500.00",Allowance,School Allowance
20/11/2024,"5,000.00",Tuition Payment ,Tuition Allowance
20/11/2024,"1,000.00",Tuition Payment ,Tuition Allowance
20/11/2024,500.00,Food,Others
23/11/2024,300.00,Allowanxe,Others
24/11/2024,"2,485.00",Allowance ,School Allowance
24/11/2024,"1,000.00",Grocery Allowance ,Others
26/11/2024,500.00,Allowance,Others
26/11/2024,200.00,Water Payment,Utility Allowance
30/11/2024,300.00,Allowance,Others
01/12/2024,"2,500.00",Week 1 Allowance,School Allowance
01/12/2024,70.00,Excess,Last Month Excess
01/12/2024,"6,500.00",December Rent,Rent Allowance
01/12/2024,550.00,Power Bill,Utility Allowance
01/12/2024,"1,000.00",Monthly Allowance ,Others
06/12/2024,500.00,Allowance,Others
07/12/2024,"3,150.00",Allowance ,Others
07/12/2024,400.00,Internet Payment ,Utility Allowance
14/12/2024,200.00,Pamasko,Others
15/12/2024,"2,500.00",Allowance,School Allowance
15/12/2024,"2,000.00",Bday,Others
18/12/2024,"1,000.00",Bday,Others
26/12/2024,500.00,Pamasko,Others
28/12/2024,"1,000.00",Allowance,Others
01/01/2025,100.00,Pamasko,Others
01/01/2025,"1,000.00",Allowance,Others
03/01/2025,700.00,Water + Internet,Utility Allowance
04/01/2025,200.00,Food,Others
05/01/2025,"2,500.00",Allowancr,School Allowance
05/01/2025,200.00,Transpo,Transpo Allowance
01/01/2025,"6,500.00",Jan Rent,Rent Allowance
09/01/2025,"11,000.00",Scholarship Allowance,Scholarship Allowance
10/01/2025,650.00,Scholarship Allowance ,Scholarship Allowance
12/01/2025,150.00,Pamasko,Others
13/01/2025,200.00,Transpo,Transpo Allowance
13/01/2025,"2,500.00",School Allowance ,School Allowance
19/01/2025,"2,500.00",School Allowance ,School Allowance
19/01/2025,200.00,Transpo Allowance ,Transpo Allowance
19/01/2025,500.00,Meralco Load,Utility Allowance
24/01/2025,"6,000.00",Allowance ,Scholarship Allowance
26/01/2025,"5,000.00",School Allowance ,School Allowance
30/01/2025,220.00,Allowance ,Scholarship Allowance
02/02/2025,"1,000.00",Utility Allowance ,Utility Allowance
02/02/2025,"6,500.00",February Rent,Rent Allowance
02/02/2025,"1,000.00",Allowance,Scholarship Allowance
02/02/2025,"3,000.00",Last Month Excess,Last Month Excess
03/02/2025,"1,000.00",Allowance,Others
03/02/2025,"3,300.00",Tuition Payment,Scholarship Allowance
09/02/2025,"3,000.00",Allowance,School Allowance
09/02/2025,700.00,Allowance,Others
13/02/2025,500.00,Grocery,Others
15/02/2025,"2,000.00",,Others
15/02/2025,100.00,,Others
16/02/2025,"2,500.00",Allowance,Scholarship Allowance
19/02/2025,500.00,Allowance,Scholarship Allowance
21/02/2025,550.00,Meralco Load,Utility Allowance
22/02/2025,"2,500.00",Allowance,School Allowance
22/02/2025,200.00,Laundry,Others
28/02/2025,250.00,Allowance ,Scholarship Allowance
01/03/2025,58.00,Excess,Others
01/03/2025,"2,000.00",Allowance,School Allowance
01/03/2025,"6,500.00",Rent,Rent Allowance
01/03/2025,750.00,Utility,Utility Allowance
05/03/2025,500.00,Allowamce,Scholarship Allowance
07/03/2025,500.00,For Cam,Scholarship Allowance
09/03/2025,"1,000.00",For Cam,Scholarship Allowance
09/03/2025,"1,200.00",Allowance,School Allowance
11/03/2025,"1,000.00",Allowance,Scholarship Allowance
11/03/2025,"2,500.00",Allowance,Others
14/03/2025,"1,000.00",Allowance,Scholarship Allowance
16/03/2025,"3,000.00",Allowance,School Allowance
16/03/2025,50.00,Transpo,Transpo Allowance
16/03/2025,500.00,Allowance,School Allowance
19/03/2025,"5,000.00",Tuition,Scholarship Allowance
20/03/2025,500.00,Allowance ,Others
22/03/2025,150.00,Food,Others
23/03/2025,"2,500.00",Allowance ,School Allowance
23/03/2025,200.00,Haircut,Others
24/03/2025,500.00,Meralco Load,Utility Allowance
30/03/2025,"2,500.00",Allowance ,School Allowance
30/03/2025,100.00,Transpo,Transpo Allowance
30/03/2025,300.00,Water Bill,Utility Allowance
01/04/2025,"2,033.00",Excess,Others
04/04/2025,400.00,Wifi,Utility Allowance
01/04/2025,500.00,Allowance,Others
01/04/2025,200.00,Allowance,Others
01/04/2025,"6,500.00",Apr Rent,Rent Allowance
06/04/2025,"4,000.00",Allowance until April 15,School Allowance
09/04/2025,"2,000.00",Allowance,Scholarship Allowance
14/04/2025,"1,941.00",Allowance,Scholarship Allowance
17/04/2025,500.00,Allowance ,Scholarship Allowance
18/04/2025,500.00,Allowance ,Others
20/04/2025,500.00,Allowance,Scholarship Allowance
20/04/2025,"2,500.00",Allowance ,School Allowance
20/04/2025,200.00,Allowance,Others
24/04/2025,500.00,Allowance,Scholarship Allowance
24/04/2025,500.00,Meralco,Utility Allowance
26/04/2025,500.00,Allowance,Others
26/04/2025,"1,000.00",Allowance,Scholarship Allowance
27/04/2025,"3,000.00",Allowance,School Allowance
27/04/2025,500.00,Water + Laundry,Others
01/05/2025,"1,270.00",Excess,Last Month Excess
03/05/2025,500.00,Allowance ,Scholarship Allowance
03/05/2025,400.00,Wifi Payment,Utility Allowance
03/05/2025,150.00,Transpo ,Transpo Allowance
04/05/2025,"3,500.00",Allowance ,School Allowance
04/05/2025,"1,000.00",Grocery ,Food Allowance
04/05/2025,500.00,Laundry,Others
06/05/2025,500.00,Allowance,Scholarship Allowance
05/05/2025,"8,000.00",Tuition Payment,Tuition Allowance
11/05/2025,500.00,Allowance,Others
13/05/2025,"2,500.00",Allowance ,School Allowance
13/05/2025,500.00,Meralco Load,Utility Allowance
