Expenses_Date,Expenses_Amount,Expenses_Description,Expenses_Category,Day_Type
01/09/2024,839.00,First Week Grocery,Grocery,Weekend
01/09/2024,430.00,Macao + Popeyes + Uncle J,Food,Weekend
01/09/2024,20.00,Transpo,Transportation,Weekend
01/09/2024,764.00,Chairs + Rack,Personal,Weekend
01/09/2024,135.00,Basahan + DustPan&Walis,Personal,Weekend
01/09/2024,46.00,Scissor + Cutter,Personal,Weekend
02/09/2024,203.00,Food,Food,School
02/09/2024,423.00,Dish Rack,Personal,School
02/09/2024,375.00,Water + Ref,Personal,School
03/09/2024,349.00,Food,Food,School
03/09/2024,280.00,Lysol,Personal,School
04/09/2024,60.00,Food,Food,Regular
04/09/2024,250.00,Joyride,Food,Regular
05/09/2024,404.00,Popeyes,Food,School
06/09/2024,205.00,7/11 + Jollibee,Food,School
06/09/2024,428.00,Food,Food,School
06/09/2024,16.00,Load,Personal,School
06/09/2024,158.00,Move It,Transportation,School
07/09/2024,"4,000.00",PATAGO,Patago,Weekend
08/09/2024,335.00,Food,Food,Weekend
09/09/2024,388.00,Food,Food,School
09/09/2024,200.00,Laundry,Laundry,School
10/09/2024,759.00,Food,Food,School
10/09/2024,200.00,UP Contest,School,School
10/09/2024,550.00,Meralco Load,Power bill,School
10/09/2024,55.00,LRT,Transportation,School
11/09/2024,412.00,Food,Food,Regular
12/09/2024,371.00,Food,Food,School
13/09/2024,320.00,Food,Food,School
13/09/2024,100.00,Beep Card Load,Transportation,School
13/09/2024,370.00,Joyride Car,Personal,School
14/09/2024,225.00,Food,Food,Weekend
14/09/2024,70.00,Transpo,Transportation,Weekend
15/09/2024,200.00,Laundry ,Laundry,Weekend
15/09/2024,60.00,Transpo ,Transportation,Weekend
15/09/2024,300.00,Birthday ,Birthday,Weekend
15/09/2024,92.00,Nestea,Food,Weekend
15/09/2024,223.00,Energy Drink,School,Weekend
15/09/2024,110.00,Milktea,Food,Weekend
16/09/2024,99.00,Breakfast,Food,School
16/09/2024,62.00,Gamot,Personal,School
16/09/2024,80.00,Food,Food,School
17/09/2024,347.00,Bfast+7/11+Jabi,Food,School
17/09/2024,20.00,Ballpen,School,School
17/09/2024,60.00,Nail Citter and things,Personal,School
17/09/2024,64.00,Diatabs,Personal,School
18/09/2024,308.00,Food,Food,Regular
19/09/2024,543.00,Food+Coffee,Food,School
19/09/2024,91.00,Load,School,School
20/09/2024,627.00,Food,Food,School
20/09/2024,60.00,Transpo ,Transportation,School
22/09/2024,200.00,Laundry,Laundry,Weekend
22/09/2024,"1,100.00",Grocery,Grocery,Weekend
22/09/2024,262.00,Dinner,Food,Weekend
23/09/2024,711.00,Samg+Ice Cream,Food,School
23/09/2024,260.00,Bowling,Personal,School
23/09/2024,50.00,LRT,Transportation,School
24/09/2024,298.00,Coco + McDo,Food,School
25/09/2024,50.00,Play,Personal,Regular
25/09/2024,43.00,Transpo,Transportation,Regular
25/09/2024,612.00,Food,Food,Regular
26/09/2024,107.00,Uncle John's ,Food,School
26/09/2024,657.00,Food,Food,School
26/09/2024,50.00,Tricycle,Transportation,School
27/09/2024,482.00,Food,Food,School
27/09/2024,320.00,Move It,Transportation,School
27/09/2024,100.00,Laundry,Laundry,School
28/09/2024,155.00,Milktea ,Food,Weekend
28/09/2024,260.00,Transpo,Transportation,Weekend
29/09/2024,68.00,Transpo,Transportation,Weekend
29/09/2024,382.00,Jollibee+Tiger Winx+7/11,Food,Weekend
30/09/2024,75.00,Spotify Payment,Personal,School
30/09/2024,100.00,Shoe Raxk,Personal,School
30/09/2024,502.00,Food,Food,School
01/10/2024,"9,000.00",Tuition Payment,Tuition Payment,School
01/10/2024,619.00,Coffee + McDo,Week 1 (1-5),School
02/10/2024,234.00,Food,Week 1 (1-5),Regular
02/10/2024,413.00,Water Bill Payment,Water Bill,Regular
02/10/2024,260.00,Wendy's ,Week 1 (1-5),Regular
02/10/2024,76.00,Transpo,Week 1 (1-5),Regular
03/10/2024,381.00,Food,Week 1 (1-5),School
03/10/2024,"6,500.00",Rent Allowance ,Oct Rent,School
03/10/2024,60.00,KTV,Personal,School
04/10/2024,101.00,McDo,Week 1 (1-5),School
04/10/2024,100.00,KTV,Personal,School
04/10/2024,40.00,Transpo,Transportation,School
04/10/2024,304.00,Jabi+Kofi,Week 1 (1-5),School
04/10/2024,320.00,Move It,Transportation,School
04/10/2024,100.00,Laundry ,Laundry,School
05/10/2024,111.00,Uncle John's ,Food,Weekend
05/10/2024,515.00,UP,School,Weekend
05/10/2024,193.00,Moveit,Transportation,Weekend
06/10/2024,384.00,Food,Food,Weekend
06/10/2024,65.00,Transpo,Transportation,Weekend
07/10/2024,60.00,Food,Week 2 (6-12),School
07/10/2024,550.00,Food,Food,School
08/10/2024,451.00,Food,Week 2 (6-12),School
09/10/2024,35.00,Water,Personal,Regular
09/10/2024,295.00,Food,Week 2 (6-12),Regular
09/10/2024,25.00,Brush ,Personal,Regular
09/10/2024,100.00,KTV,Personal,Regular
09/10/2024,"1,000.00",Wifi Installation ,Internet Bill,Regular
09/10/2024,120.00,Joyride Car,Transportation,Regular
10/10/2024,179.00,Food ,Week 2 (6-12),School
10/10/2024,920.00,Headphone,Personal,School
10/10/2024,272.00,Food,Week 2 (6-12),School
11/10/2024,395.00,Food,Week 2 (6-12),School
11/10/2024,100.00,Laundry,Week 2 (6-12),School
